                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.86597,                 1.0951,                0.92529,                0.85378,                0.88553,                  0.995,                0.87031,                0.75683,                 2.2105,                0.99828,             0.00042092,             0.00042092,             0.00042092
                     53,                0.75606,                 1.1868,                0.97015,                0.85378,                0.88553,                  0.995,                0.87031,                0.75683,                 2.2105,                0.99828,             0.00042059,             0.00042059,             0.00042059
                     54,                0.86322,                 1.2254,                 1.0104,                0.83537,                0.86765,                  0.995,                0.84554,                0.84687,                 2.2418,                 1.1035,             0.00041993,             0.00041993,             0.00041993
                     55,                0.79201,                 1.1542,                0.96198,                0.83537,                0.86765,                  0.995,                0.84554,                0.84687,                 2.2418,                 1.1035,             0.00041894,             0.00041894,             0.00041894
                     56,                0.64025,                 1.1644,                0.98408,                0.83537,                0.86765,                  0.995,                0.84554,                0.84687,                 2.2418,                 1.1035,             0.00041763,             0.00041763,             0.00041763
                     57,                0.94733,                 1.5006,                 1.1024,                0.83511,                0.95305,                  0.995,                0.82056,                0.83073,                 2.2184,                 1.1422,             0.00041598,             0.00041598,             0.00041598
                     58,                0.81907,                 1.0903,                 1.0513,                0.83511,                0.95305,                  0.995,                0.82056,                0.83073,                 2.2184,                 1.1422,               0.000414,               0.000414,               0.000414
                     59,                0.76757,                 1.2026,                 1.0665,                0.83511,                0.95305,                  0.995,                0.82056,                0.83073,                 2.2184,                 1.1422,             0.00041169,             0.00041169,             0.00041169
                     60,                 1.0409,                   1.43,                 1.1991,                0.84998,                0.93671,                  0.995,                0.84554,                0.78703,                  2.152,                 1.1749,             0.00040905,             0.00040905,             0.00040905
                     61,                0.73542,                 1.0422,                  1.042,                0.84998,                0.93671,                  0.995,                0.84554,                0.78703,                  2.152,                 1.1749,             0.00040608,             0.00040608,             0.00040608
                     62,                0.70664,                 1.1281,                 1.0803,                0.84998,                0.93671,                  0.995,                0.84554,                0.78703,                  2.152,                 1.1749,             0.00040278,             0.00040278,             0.00040278
                     63,                0.68129,                 1.1978,                 1.0369,                0.85291,                0.91274,                  0.995,                0.84554,                0.77344,                 2.1044,                 1.1715,             0.00039915,             0.00039915,             0.00039915
                     64,                0.69116,                 1.0797,                0.95271,                0.85291,                0.91274,                  0.995,                0.84554,                0.77344,                 2.1044,                 1.1715,             0.00039519,             0.00039519,             0.00039519
                     65,                0.65449,                  1.091,                 0.9891,                0.85291,                0.91274,                  0.995,                0.84554,                0.77344,                 2.1044,                 1.1715,              0.0003909,              0.0003909,              0.0003909
                     66,                 0.7471,                  1.145,                 1.0088,                0.84516,                0.90491,                  0.995,                0.82036,                0.79229,                 2.1245,                 1.2001,             0.00038629,             0.00038629,             0.00038629
                     67,                0.84312,                 1.2674,                 1.0766,                0.84516,                0.90491,                  0.995,                0.82036,                0.79229,                 2.1245,                 1.2001,             0.00038134,             0.00038134,             0.00038134
                     68,                0.65832,                 1.0853,                 1.0288,                0.84516,                0.90491,                  0.995,                0.82036,                0.79229,                 2.1245,                 1.2001,             0.00037606,             0.00037606,             0.00037606
                     69,                0.87106,                 1.2628,                  1.085,                 0.9014,                0.92777,                  0.995,                0.84533,                 0.7788,                 2.1817,                 1.2246,             0.00037045,             0.00037045,             0.00037045
                     70,                0.79604,                   1.28,                 1.0578,                 0.9014,                0.92777,                  0.995,                0.84533,                 0.7788,                 2.1817,                 1.2246,             0.00036451,             0.00036451,             0.00036451
                     71,                0.78968,                 1.0996,                 1.0402,                 0.9014,                0.92777,                  0.995,                0.84533,                 0.7788,                 2.1817,                 1.2246,             0.00035824,             0.00035824,             0.00035824
                     72,                0.71003,                 1.2022,                 1.0324,                 0.9424,                0.94241,                  0.995,                0.79559,                0.79705,                 2.1085,                 1.2247,             0.00035164,             0.00035164,             0.00035164
                     73,                0.63373,                 1.0886,                0.89385,                 0.9424,                0.94241,                  0.995,                0.79559,                0.79705,                 2.1085,                 1.2247,             0.00034471,             0.00034471,             0.00034471
                     74,                 0.7604,                  1.079,                 1.0239,                 0.9424,                0.94241,                  0.995,                0.79559,                0.79705,                 2.1085,                 1.2247,             0.00033745,             0.00033745,             0.00033745
                     75,                0.71485,                 1.0421,                0.93407,                0.98403,                0.98809,                  0.995,                0.78705,                0.76714,                 2.1292,                 1.2208,             0.00032986,             0.00032986,             0.00032986
                     76,                0.76098,                  1.097,                0.99819,                0.98403,                0.98809,                  0.995,                0.78705,                0.76714,                 2.1292,                 1.2208,             0.00032194,             0.00032194,             0.00032194
                     77,                0.72962,                 1.0624,                 1.0596,                0.98403,                0.98809,                  0.995,                0.78705,                0.76714,                 2.1292,                 1.2208,             0.00031369,             0.00031369,             0.00031369
                     78,                0.73336,                0.93754,                0.98249,                 0.9588,                0.94891,                  0.995,                0.81202,                0.83156,                 2.0475,                 1.2344,             0.00030511,             0.00030511,             0.00030511
                     79,                0.61963,                0.94889,                0.92804,                 0.9588,                0.94891,                  0.995,                0.81202,                0.83156,                 2.0475,                 1.2344,              0.0002962,              0.0002962,              0.0002962
                     80,                0.75145,                 1.0575,                 1.0104,                 0.9588,                0.94891,                  0.995,                0.81202,                0.83156,                 2.0475,                 1.2344,             0.00028696,             0.00028696,             0.00028696
                     81,                0.76662,                  1.006,                 1.1064,                0.89437,                0.95771,                  0.995,                0.79538,                0.83119,                 1.9303,                 1.2129,             0.00027739,             0.00027739,             0.00027739
                     82,                0.67698,                 1.1019,                 1.0091,                0.89437,                0.95771,                  0.995,                0.79538,                0.83119,                 1.9303,                 1.2129,             0.00026749,             0.00026749,             0.00026749
                     83,                0.69872,                 1.1554,                 1.0151,                0.89437,                0.95771,                  0.995,                0.79538,                0.83119,                 1.9303,                 1.2129,             0.00025726,             0.00025726,             0.00025726
                     84,                0.65239,                0.98467,                0.96135,                 0.8928,                0.96635,                  0.995,                0.79538,                0.88032,                 1.8125,                 1.1616,              0.0002467,              0.0002467,              0.0002467
                     85,                0.63803,                  1.009,                0.95118,                 0.8928,                0.96635,                  0.995,                0.79538,                0.88032,                 1.8125,                 1.1616,             0.00023581,             0.00023581,             0.00023581
                     86,                0.72188,                 1.1638,                 1.0823,                 0.8928,                0.96635,                  0.995,                0.79538,                0.88032,                 1.8125,                 1.1616,             0.00022459,             0.00022459,             0.00022459
                     87,                0.65577,                 1.1208,                 1.0879,                 0.8928,                0.96635,                  0.995,                0.79538,                0.88032,                 1.8125,                 1.1616,             0.00021304,             0.00021304,             0.00021304
                     88,                0.59713,                 1.0187,                0.97128,                 0.9056,                0.97661,                  0.995,                0.82036,                0.87729,                 1.6478,                 1.1037,             0.00020116,             0.00020116,             0.00020116
                     89,                0.75261,                 1.0221,                 1.0077,                 0.9056,                0.97661,                  0.995,                0.82036,                0.87729,                 1.6478,                 1.1037,             0.00018894,             0.00018894,             0.00018894
                     90,                0.56645,                0.89261,                0.94216,                 0.9056,                0.97661,                  0.995,                0.82036,                0.87729,                 1.6478,                 1.1037,              0.0001764,              0.0001764,              0.0001764
                     91,                0.37738,                 1.3813,                 0.9453,                 0.9056,                0.97661,                  0.995,                0.82036,                0.87729,                 1.6478,                 1.1037,             0.00016353,             0.00016353,             0.00016353
                     92,                0.48965,                 1.3748,                0.91237,                0.93348,                0.98386,                  0.995,                0.82056,                0.75264,                 1.5481,                 1.0673,             0.00015033,             0.00015033,             0.00015033
                     93,                0.48979,                 1.3523,                 0.9891,                0.93348,                0.98386,                  0.995,                0.82056,                0.75264,                 1.5481,                 1.0673,              0.0001368,              0.0001368,              0.0001368
                     94,                0.59867,                 1.4248,                0.91518,                0.93348,                0.98386,                  0.995,                0.82056,                0.75264,                 1.5481,                 1.0673,             0.00012294,             0.00012294,             0.00012294
                     95,                0.46715,                 1.3712,                0.87395,                0.93348,                0.98386,                  0.995,                0.82056,                0.75264,                 1.5481,                 1.0673,             0.00010875,             0.00010875,             0.00010875
                     96,                0.52643,                 1.4015,                0.87885,                0.95585,                0.99365,                  0.995,                0.84554,                0.76816,                 1.4674,                 1.0432,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                0.50099,                 1.3231,                0.91902,                0.95585,                0.99365,                  0.995,                0.84554,                0.76816,                 1.4674,                 1.0432,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                0.50736,                  1.337,                0.94495,                0.95585,                0.99365,                  0.995,                0.84554,                0.76816,                 1.4674,                 1.0432,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                0.52178,                 1.3494,                0.98201,                0.95585,                0.99365,                  0.995,                0.84554,                0.76816,                 1.4674,                 1.0432,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                0.49703,                 1.3349,                0.93043,                0.97092,                      1,                  0.995,                0.82056,                0.79066,                 1.3914,                  1.041,             3.2842e-05,             3.2842e-05,             3.2842e-05
